Rank,Region Operation,ADO,State,Locid,Airport Name,City,Svc Lvl,Hub,"2017 Landed
Weight (lbs.)","2016 Landed
Weight (lbs.)",% Change
1,Southern,MEM,Tennessee,MEM,Memphis International,Memphis,P,S,"23,949,525,780","23,866,469,898",0.35%
2,Alaskan,AAL,Alaska,ANC,Ted Stevens Anchorage International,Anchorage,P,M,"17,337,337,377","16,867,292,945",2.79%
3,Southern,MEM,Kentucky,SDF,Louisville International-Standiford Field,Louisville,P,S,"13,403,682,652","12,804,148,855",4.68%
4,Great Lakes,CHI,Illinois,ORD,Chicago O'Hare International,Chicago,P,L,"10,373,559,593","9,358,755,022",10.84%
5,Southern,ORL,Florida,MIA,Miami International,Miami,P,L,"7,963,988,407","7,899,307,235",0.82%
6,Western Pacific,LAX,California,LAX,Los Angeles International,Los Angeles,P,L,"7,197,930,264","6,931,158,178",3.85%
7,Southern,MEM,Kentucky,CVG,Cincinnati/Northern Kentucky International,Greater Cincinnati International Airport,P,M,"5,700,282,994","4,275,662,532",33.32%
8,Great Lakes,CHI,Indiana,IND,Indianapolis International,Indianapolis,P,M,"5,138,500,501","5,329,187,330",-3.58%
9,Southwest,TEX,Texas,DFW,Dallas-Fort Worth International,Fort Worth,P,L,"4,155,362,297","3,859,940,737",7.65%
10,Western Pacific,LAX,California,ONT,Ontario International,Ontario,P,M,"3,522,510,318","3,041,697,142",15.81%
11,Western Pacific,SFO,California,OAK,Metropolitan Oakland International,Oakland,P,M,"3,272,195,070","3,152,106,329",3.81%
12,Eastern,NYC,New Jersey,EWR,Newark Liberty International,Newark,P,L,"2,990,957,430","2,803,385,720",6.69%
13,Eastern,NYC,New York,JFK,John F Kennedy International,New York,P,L,"2,937,988,820","3,197,249,060",-8.11%
14,Southern,ATL,Georgia,ATL,Hartsfield - Jackson Atlanta International,Atlanta,P,L,"2,781,647,652","2,610,022,106",6.58%
15,Western Pacific,HNL,Hawaii,HNL,Daniel K Inouye International,Honolulu,P,L,"2,487,185,900","2,456,197,000",1.26%
16,Northwest Mountain,SEA,Washington,SEA,Seattle-Tacoma International,Seattle,P,L,"2,315,645,598","1,878,916,576",23.24%
17,Eastern,HAR,Pennsylvania,PHL,Philadelphia International,Philadelphia,P,L,"2,017,190,422","2,027,769,604",-0.52%
18,Western Pacific,PHX,Arizona,PHX,Phoenix Sky Harbor International,Phoenix,P,L,"1,757,368,004","1,703,829,283",3.14%
19,Southwest,TEX,Texas,IAH,George Bush Intercontinental/Houston,Houston,P,L,"1,755,069,631","1,636,306,553",7.26%
20,Northwest Mountain,SEA,Oregon,PDX,Portland International,Portland,P,L,"1,471,945,867","1,271,073,678",15.80%
21,Northwest Mountain,DEN,Colorado,DEN,Denver International,Denver,P,L,"1,391,967,269","1,425,420,956",-2.35%
22,Great Lakes,CHI,Illinois,RFD,Chicago/Rockford International,Rockford,P,N,"1,381,654,780","922,955,400",49.70%
23,Western Pacific,SFO,California,SFO,San Francisco International,San Francisco International Airport,P,L,"1,254,393,000","1,300,957,350",-3.58%
24,Southern,ATL,Puerto Rico,SJU,Luis Munoz Marin International,San Juan,P,M,"1,208,323,492","1,084,961,328",11.37%
25,Northwest Mountain,DEN,Utah,SLC,Salt Lake City International,Salt Lake City,P,L,"1,123,668,279","1,083,725,861",3.69%
26,Great Lakes,DET,Ohio,LCK,Rickenbacker International,Columbus,P,N,"1,085,726,304","983,247,285",10.42%
27,Great Lakes,DMA,Minnesota,MSP,Minneapolis-St Paul International/Wold-Chamberlain,Minneapolis,P,L,"1,030,776,385","1,002,366,375",2.83%
28,New England,ANE,Massachusetts,BOS,General Edward Lawrence Logan International,Boston,P,L,"996,320,950","980,954,950",1.57%
29,Southern,ORL,Florida,MCO,Orlando International,Orlando,P,L,"991,178,133","974,669,950",1.69%
30,Eastern,WAS,Maryland,BWI,Baltimore/Washington International Thurgood Marshall,Glen Burnie,P,L,"943,878,461","536,859,376",75.81%
31,Southwest,TEX,Texas,AFW,Fort Worth Alliance,Fort Worth,R,-,"904,874,371","897,408,852",0.83%
32,Southern,ORL,Florida,TPA,Tampa International,Tampa,P,L,"853,209,824","587,135,982",45.32%
33,Southwest,TEX,Texas,SAT,San Antonio International,San Antonio,P,M,"844,767,966","791,990,700",6.66%
34,New England,ANE,Connecticut,BDL,Bradley International,Windsor Locks,P,M,"817,966,700","831,343,300",-1.61%
35,Great Lakes,DET,Michigan,DTW,Detroit Metropolitan Wayne County,Detroit,P,L,"789,037,070","779,475,670",1.23%
36,Northwest Mountain,SEA,Washington,BFI,Boeing Field/King County International,Seattle,P,N,"745,346,446","793,142,903",-6.03%
