Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 17 Enplanements,CY 16 Enplanements,% Change
56,AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,"2,556,191","2,563,524",-0.29%
119,AL,AK,FAI,Fairbanks,Fairbanks International,P,S,"543,839","538,881",0.92%
133,AL,AK,JNU,Juneau,Juneau International,P,N,"422,266","420,442",0.43%
202,AL,AK,BET,Bethel,Bethel,P,N,"146,652","155,791",-5.87%
210,AL,AK,KTN,Ketchikan,Ketchikan International,P,N,"131,144","127,881",2.55%
237,AL,AK,ENA,Kenai,Kenai Municipal,P,N,"92,973","92,485",0.53%
249,AL,AK,SIT,Sitka,Sitka Rocky Gutierrez,P,N,"83,598","83,404",0.23%
250,AL,AK,ADQ,Kodiak,Kodiak,P,N,"83,577","79,682",4.89%
260,AL,AK,OTZ,Kotzebue,Ralph Wien Memorial,P,N,"67,951","64,481",5.38%
263,AL,AK,OME,Nome,Nome,P,N,"61,651","60,655",1.64%
283,AL,AK,HOM,Homer,Homer,P,N,"46,322","44,117",5.00%
284,AL,AK,BRW,Barrow,Wiley Post-Will Rogers Memorial,P,N,"45,958","45,300",1.45%
290,AL,AK,SCC,Deadhorse,Deadhorse,P,N,"41,849","51,205",-18.27%
304,AL,AK,AKN,King Salmon,King Salmon,P,N,"34,800","36,717",-5.22%
312,AL,AK,DUT,Unalaska,Unalaska,P,N,"30,080","31,055",-3.14%
316,AL,AK,DLG,Dillingham,Dillingham,P,N,"28,895","33,616",-14.04%
336,AL,AK,PSG,Petersburg,Petersburg James A Johnson,P,N,"22,915","21,896",4.65%
348,AL,AK,LHD,Anchorage,Lake Hood,P,N,"20,689","23,382",-11.52%
356,AL,AK,MRI,Anchorage,Merrill Field,P,N,"18,298","19,144",-4.42%
357,AL,AK,CDV,Cordova,Merle K (Mudhole) Smith,P,N,"18,280","18,649",-1.98%
367,AL,AK,UNK,Unalakleet,Unalakleet,P,N,"16,111","16,948",-4.94%
378,AL,AK,WRG,Wrangell,Wrangell,P,N,"13,160","12,569",4.70%
382,AL,AK,ANI,Aniak,Aniak,P,N,"12,735","13,688",-6.96%
386,AL,AK,KSM,St. Mary's (ANV/ANVSA),St Mary's,P,N,"11,528","12,851",-10.29%
390,AL,AK,VDZ,Valdez,Valdez Pioneer Field,P,N,"11,321","12,631",-10.37%
396,AL,AK,AKW,Klawock,Klawock,P,N,"10,923","10,628",2.78%
398,AL,AK,YAK,Yakutat,Yakutat,P,N,"10,886","10,756",1.21%
287,AL,AK,5KE,Ketchikan,Ketchikan Harbor,GA,None,"42,492","44,372",-4.24%
389,AL,AK,DGG,Red Dog Mine,Red Dog,GA,None,"11,350","10,844",4.67%
404,AL,AK,GAL,Galena,Edward G Pitka Sr,CS,None,"9,664","10,532",-8.24%
409,AL,AK,GST,Gustavus,Gustavus,CS,None,"9,061","11,438",-20.78%
419,AL,AK,ENM,Emmonak,Emmonak,CS,None,"8,004","8,072",-0.84%
422,AL,AK,HNS,Haines,Haines,CS,None,"7,864","8,936",-12.00%
427,AL,AK,SGY,Skagway,Skagway,CS,None,"7,380","8,714",-15.31%
428,AL,AK,CDB,Cold Bay,Cold Bay,CS,None,"7,338","7,403",-0.88%
433,AL,AK,HNH,Hoonah,Hoonah,CS,None,"6,820","8,809",-22.58%
435,AL,AK,FYU,Fort Yukon,Fort Yukon,CS,None,"6,799","6,552",3.77%
440,AL,AK,CXF,Coldfoot,Coldfoot,CS,None,"6,345","7,203",-11.91%
445,AL,AK,AQH,Quinhagak,Quinhagak,CS,None,"6,101","7,012",-12.99%
