Rank,RO,ADO,ST,Locid,Airport Name,City,Svc Lvl,Hub,"2017 Landed
Weight (lbs.)","2016 Landed
Weight (lbs.)",% Change
1,SO,MEM,TN,MEM,Memphis International,Memphis,P,S,"23,949,525,780","23,866,469,898",0.35%
2,AL,AAL,AK,ANC,Ted Stevens Anchorage International,Anchorage,P,M,"17,337,337,377","16,867,292,945",2.79%
3,SO,MEM,KY,SDF,Louisville International-Standiford Field,Louisville,P,S,"13,403,682,652","12,804,148,855",4.68%
4,GL,CHI,IL,ORD,Chicago O'Hare International,Chicago,P,L,"10,373,559,593","9,358,755,022",10.84%
5,SO,ORL,FL,MIA,Miami International,Miami,P,L,"7,963,988,407","7,899,307,235",0.82%
6,WP,LAX,CA,LAX,Los Angeles International,Los Angeles,P,L,"7,197,930,264","6,931,158,178",3.85%
7,SO,MEM,KY,CVG,Cincinnati/Northern Kentucky International,Greater Cincinnati International Airport,P,M,"5,700,282,994","4,275,662,532",33.32%
8,GL,CHI,IN,IND,Indianapolis International,Indianapolis,P,M,"5,138,500,501","5,329,187,330",-3.58%
9,SW,TEX,TX,DFW,Dallas-Fort Worth International,Fort Worth,P,L,"4,155,362,297","3,859,940,737",7.65%
10,WP,LAX,CA,ONT,Ontario International,Ontario,P,M,"3,522,510,318","3,041,697,142",15.81%
11,WP,SFO,CA,OAK,Metropolitan Oakland International,Oakland,P,M,"3,272,195,070","3,152,106,329",3.81%
12,EA,NYC,NJ,EWR,Newark Liberty International,Newark,P,L,"2,990,957,430","2,803,385,720",6.69%
13,EA,NYC,NY,JFK,John F Kennedy International,New York,P,L,"2,937,988,820","3,197,249,060",-8.11%
14,SO,ATL,GA,ATL,Hartsfield - Jackson Atlanta International,Atlanta,P,L,"2,781,647,652","2,610,022,106",6.58%
15,WP,HNL,HI,HNL,Daniel K Inouye International,Honolulu,P,L,"2,487,185,900","2,456,197,000",1.26%
16,NM,SEA,WA,SEA,Seattle-Tacoma International,Seattle,P,L,"2,315,645,598","1,878,916,576",23.24%
17,EA,HAR,PA,PHL,Philadelphia International,Philadelphia,P,L,"2,017,190,422","2,027,769,604",-0.52%
18,WP,PHX,AZ,PHX,Phoenix Sky Harbor International,Phoenix,P,L,"1,757,368,004","1,703,829,283",3.14%
19,SW,TEX,TX,IAH,George Bush Intercontinental/Houston,Houston,P,L,"1,755,069,631","1,636,306,553",7.26%
20,NM,SEA,OR,PDX,Portland International,Portland,P,L,"1,471,945,867","1,271,073,678",15.80%
21,NM,DEN,CO,DEN,Denver International,Denver,P,L,"1,391,967,269","1,425,420,956",-2.35%
22,GL,CHI,IL,RFD,Chicago/Rockford International,Rockford,P,N,"1,381,654,780","922,955,400",49.70%
23,WP,SFO,CA,SFO,San Francisco International,San Francisco International Airport,P,L,"1,254,393,000","1,300,957,350",-3.58%
24,SO,ATL,PR,SJU,Luis Munoz Marin International,San Juan,P,M,"1,208,323,492","1,084,961,328",11.37%
25,NM,DEN,UT,SLC,Salt Lake City International,Salt Lake City,P,L,"1,123,668,279","1,083,725,861",3.69%
26,GL,DET,OH,LCK,Rickenbacker International,Columbus,P,N,"1,085,726,304","983,247,285",10.42%
27,GL,DMA,MN,MSP,Minneapolis-St Paul International/Wold-Chamberlain,Minneapolis,P,L,"1,030,776,385","1,002,366,375",2.83%
28,NE,ANE,MA,BOS,General Edward Lawrence Logan International,Boston,P,L,"996,320,950","980,954,950",1.57%
29,SO,ORL,FL,MCO,Orlando International,Orlando,P,L,"991,178,133","974,669,950",1.69%
30,EA,WAS,MD,BWI,Baltimore/Washington International Thurgood Marshall,Glen Burnie,P,L,"943,878,461","536,859,376",75.81%
31,SW,TEX,TX,AFW,Fort Worth Alliance,Fort Worth,R,-,"904,874,371","897,408,852",0.83%
32,SO,ORL,FL,TPA,Tampa International,Tampa,P,L,"853,209,824","587,135,982",45.32%
33,SW,TEX,TX,SAT,San Antonio International,San Antonio,P,M,"844,767,966","791,990,700",6.66%
34,NE,ANE,CT,BDL,Bradley International,Windsor Locks,P,M,"817,966,700","831,343,300",-1.61%
35,GL,DET,MI,DTW,Detroit Metropolitan Wayne County,Detroit,P,L,"789,037,070","779,475,670",1.23%
36,NM,SEA,WA,BFI,Boeing Field/King County International,Seattle,P,N,"745,346,446","793,142,903",-6.03%
37,EA,HAR,PA,ABE,Lehigh Valley International,Allentown,P,N,"689,003,342","387,362,976",77.87%
38,WP,LAX,CA,SAN,San Diego International,San Diego,P,L,"635,220,350","640,294,600",-0.79%
39,SO,MEM,NC,GSO,Piedmont Triad International,Greensboro,P,S,"607,083,703","498,972,502",21.67%
40,SO,MEM,NC,CLT,Charlotte/Douglas International,Charlotte,P,L,"604,310,880","467,253,040",29.33%
41,GL,CHI,WI,MKE,General Mitchell International,Milwaukee,P,M,"602,686,514","614,442,650",-1.91%
42,SW,TEX,TX,LRD,Laredo International,Laredo,P,N,"587,517,683","450,435,440",30.43%
43,CE,ACE,MO,MCI,Kansas City International,Kansas City,P,M,"571,041,998","616,946,618",-7.44%
44,SW,LANM,NM,ABQ,Albuquerque International Sunport,Albuquerque,P,M,"562,896,132","575,788,972",-2.24%
45,WP,PHX,NV,RNO,Reno/Tahoe International,Reno,P,S,"553,310,545","612,740,180",-9.70%
46,SW,TEX,TX,AUS,Austin-Bergstrom International,Austin,P,M,"547,734,473","483,753,210",13.23%
47,SW,TEX,TX,ELP,El Paso International,El Paso,P,S,"525,102,662","510,464,050",2.87%
48,SO,ATL,PR,BQN,Rafael Hernandez,Aguadilla,P,N,"523,499,150","532,393,460",-1.67%
49,SO,MEM,NC,RDU,Raleigh-Durham International,Raleigh,P,M,"502,693,290","452,516,590",11.09%
50,EA,WAS,VA,RIC,Richmond International,Highland Springs,P,S,"500,165,722","432,292,504",15.70%
51,NE,ANE,NH,MHT,Manchester,Manchester,P,S,"489,538,104","482,624,702",1.43%
52,NM,SEA,WA,GEG,Spokane International,Spokane,P,S,"470,113,311","456,248,858",3.04%
53,EA,HAR,PA,PIT,Pittsburgh International,Pittsburgh,P,M,"470,107,335","452,232,238",3.95%
54,EA,WAS,VA,IAD,Washington Dulles International,Dulles,P,L,"458,000,764","460,404,810",-0.52%
