,Range 1,Range 2,Range 3,Range 4,Range 5,Range 6,Range 7,Range 8,Range 9,Range 10,Range 11
Year 0,13802,13802,48308,62110,69011,75913,75913,96616,103517,89715,41407
Year 1,13802,13802,48308,62110,69011,75913,75913,96616,103517,89715,41407
Year 2,13802,13802,55209,75913,69011,89715,75913,89715,103517,69011,34506
Year 3,13802,20703,48308,75913,75913,82814,82814,103517,96616,75913,20703
Year 4,20703,20703,41407,55209,69011,82814,75913,103517,117319,75913,27605
Year 5,20703,13802,48308,55209,75913,89715,82814,89715,110418,82814,27605
Year 6,20703,20703,48308,62110,75913,82814,82814,103517,89715,75913,27605
Year 7,20703,20703,48308,69011,75913,89715,82814,96616,96616,62110,27605
Year 8,34506,27605,62110,69011,89715,82814,69011,89715,82814,62110,20703
Year 9,27605,20703,62110,82814,82814,75913,75913,89715,89715,62110,27605
Year 10,34506,27605,55209,75913,82814,82814,69011,89715,82814,69011,20703
Year 11,41407,34506,82814,89715,89715,82814,69011,75913,69011,41407,20703
Year 12,41407,34506,82814,89715,89715,82814,69011,75913,69011,41407,20703
