Ford Explorer 4WD,Ford F150 Pickup 2WD,Jeep Grand Cherokee 4WD,Ford Explorer 2WD,Dodge Caravan 2WD,Jeep Cherokee 4WD,Chevrolet Blazer 4WD,Chevrolet C1500 Pickup 2WD,Ford F150 Pickup 4WD,Ford Windstar FWD Van
3864.64,2760.46,1932.32,1380.22,1104.18,828.14,552.1,552.1,414.06,414.06
3864.64,2760.46,1932.32,1380.22,1104.18,828.14,552.1,552.1,414.06,414.06
13526.24,9661.61,6763.12,4830.77,3864.63,2898.49,1932.35,1932.35,1449.21,1449.21
17390.88,12422.07,8695.44,6210.99,4968.81,3726.63,2484.45,2484.45,1863.27,1863.27
19323.2,13802.3,9661.6,6901.1,5520.9,4140.7,2760.5,2760.5,2070.3,2070.3
21255.52,15182.53,10627.76,7591.21,6072.99,4554.77,3036.55,3036.55,2277.33,2277.33
21255.52,15182.53,10627.76,7591.21,6072.99,4554.77,3036.55,3036.55,2277.33,2277.33
27052.48,19323.22,13526.24,9661.54,7729.26,5796.98,3864.7,3864.7,2898.42,2898.42
28984.8,20703.45,14492.4,10351.65,8281.35,6211.05,4140.75,4140.75,3105.45,3105.45
25120.16,17942.99,12560.08,8971.43,7177.17,5382.91,3588.65,3588.65,2691.39,2691.39
11593.92,8281.38,5796.96,4140.66,3312.54,2484.42,1656.3,1656.3,1242.18,1242.18
