,Range 1,Range 2,Range 3,Range 4,Range 5,Range 6,Range 7,Range 8,Range 9,Range 10,Range 11
 Year 0 ,2760,2760,9662,12422,13802,15183,15183,19323,20703,17943,8282
 Year 1 ,2760,2760,9662,12422,13802,15183,15183,19323,20703,17943,8282
 Year 2,2760,2760,11042,15183,13802,17943,15183,17943,20703,13802,6902
 Year 3,2760,4141,9662,15183,15183,16563,16563,20703,19323,15183,4141
 Year 4,4141,4141,8281,11042,13802,16563,15183,20703,23464,15183,5521
 Year 5,4141,2760,9662,11042,15183,17943,16563,17943,22084,16563,5521
 Year 6,4141,4141,9662,12422,15183,16563,16563,20703,17943,15183,5521
 Year 7,4141,4141,9662,13802,15183,17943,16563,19323,19323,12422,5521
 Year 8,6901,5521,12422,13802,17943,16563,13802,17943,16563,12422,4141
 Year 9,5521,4141,12422,16563,16563,15183,15183,17943,17943,12422,5521
 Year 10,6901,5521,11042,15183,16563,16563,13802,17943,16563,13802,4141
 Year 11,8281,6901,16563,17943,17943,16563,13802,15183,13802,8281,4141
 Year 12,8281,6901,16563,17943,17943,16563,13802,15183,13802,8281,4141
